Longitude,Latitude
0.1278,34.0522
0.1278,35.6895
0.1278,40.7128
0.1278,48.8566
0.1278,51.5074
0.1278,55.7558
-118.2437,34.0522
-118.2437,35.6895
-118.2437,40.7128
-118.2437,48.8566
-118.2437,51.5074
-118.2437,55.7558
139.6917,34.0522
139.6917,35.6895
139.6917,40.7128
139.6917,48.8566
139.6917,51.5074
139.6917,55.7558
2.3522,34.0522
2.3522,35.6895
2.3522,40.7128
2.3522,48.8566
2.3522,51.5074
2.3522,55.7558
37.6173,34.0522
37.6173,35.6895
37.6173,40.7128
37.6173,48.8566
37.6173,51.5074
37.6173,55.7558
-74.006,34.0522
-74.006,35.6895
-74.006,40.7128
-74.006,48.8566
-74.006,51.5074
-74.006,55.7558
